iter	MultiClass
0	1.060296311
1	1.026262659
2	0.9935179326
3	0.9630214014
4	0.933998279
5	0.9075906723
6	0.8831647955
7	0.8608087435
8	0.8395196446
9	0.8188595053
10	0.7986342562
11	0.7814125482
12	0.763831838
13	0.7476640517
14	0.7318410423
15	0.7167856987
16	0.7017089059
17	0.6869698708
18	0.6735523036
19	0.6601260495
20	0.6484150889
21	0.6367872543
22	0.6254598405
23	0.6146680106
24	0.6044450258
25	0.5946890245
26	0.5851646856
27	0.5765097526
28	0.5675799348
29	0.558518761
30	0.5500117171
31	0.5419093264
32	0.5340775997
33	0.526728858
34	0.5202740258
35	0.5135850053
36	0.5064276492
37	0.4998122291
38	0.4934346968
39	0.487199226
40	0.4810702714
41	0.4756156807
42	0.4700321347
43	0.4643762619
44	0.4591201216
45	0.4544978904
46	0.4497787304
47	0.4451883936
48	0.4410665614
49	0.4368652129
50	0.4327311769
51	0.4288275377
52	0.4257071613
53	0.4221461402
54	0.4185898439
55	0.4151907905
56	0.4121344439
57	0.4097091082
58	0.4065989317
59	0.4037438359
60	0.4009457078
61	0.3980986855
62	0.3952843619
63	0.3928621211
64	0.3903625526
65	0.3879712875
66	0.3855355607
67	0.3832703116
68	0.3811457133
69	0.3788599779
70	0.3770079238
71	0.3751174987
72	0.3732548111
73	0.3713927307
74	0.3694260109
75	0.3675851267
76	0.3659657664
77	0.3644227127
78	0.3626527572
79	0.361133804
80	0.3597386448
81	0.3580154037
82	0.356525381
83	0.3551680935
84	0.3538368909
85	0.3524277003
86	0.3511822805
87	0.3500332076
88	0.3487924696
89	0.347550441
90	0.3463228847
91	0.345086992
92	0.3439389131
93	0.3428342736
94	0.3419238282
95	0.3408788985
96	0.3399409615
97	0.3389219132
98	0.3380647497
99	0.3371042097
100	0.336254672
101	0.3354359332
102	0.334687352
103	0.3337711768
104	0.3331031762
105	0.3324057583
106	0.3314522285
107	0.3308417054
108	0.3302791119
109	0.3295149185
110	0.3290026636
111	0.328302027
112	0.3276971755
113	0.3271740329
114	0.3264035676
115	0.3257596772
116	0.3249061709
117	0.3244014385
118	0.3237502425
119	0.3230774812
120	0.3227218573
121	0.3222076636
122	0.3217961064
123	0.321184041
124	0.3207334468
125	0.3202245285
126	0.319664024
127	0.3190606221
128	0.3186526093
129	0.3182153175
130	0.3177466745
131	0.3172411241
132	0.3167308643
133	0.316259153
134	0.3157836112
135	0.3153331748
136	0.3150774701
137	0.3146813029
138	0.314272921
139	0.3138977906
140	0.3135309289
141	0.3128994787
142	0.3125992109
143	0.3122800855
144	0.311858267
145	0.3115235211
146	0.3109951745
147	0.3106667558
148	0.3102315903
149	0.3100585393
150	0.3096150397
151	0.3093270384
152	0.3089306285
153	0.3086540765
154	0.3081739367
155	0.3078705904
156	0.3074665866
157	0.3071752774
158	0.3067174615
159	0.3064754424
160	0.3062183736
161	0.3059076471
162	0.3055553319
163	0.3052666757
164	0.3050185705
165	0.304782365
166	0.3043902362
167	0.3040659591
168	0.3038259193
169	0.3035218734
170	0.3032488158
171	0.3028727506
172	0.3026188665
173	0.3023633771
174	0.302076626
175	0.3018491182
176	0.3015554503
177	0.3013355392
178	0.301085084
179	0.3007739905
180	0.3005307605
181	0.3002798698
182	0.3001146889
183	0.2999518225
184	0.2998255938
185	0.2996929759
186	0.2994052985
187	0.2992476293
188	0.2990026289
189	0.2987780511
190	0.2987198003
191	0.2986665727
192	0.2982825561
193	0.2981473215
194	0.2978934907
195	0.2977532255
196	0.2974673603
197	0.2972077109
198	0.2969655296
199	0.296699052
200	0.2963786221
201	0.2961762574
202	0.296000391
203	0.2957690091
204	0.2956204898
205	0.2954941584
206	0.2953205036
207	0.2950314275
208	0.2948951957
209	0.294781729
210	0.2947808096
211	0.2945973318
212	0.2944030544
213	0.2941590481
214	0.2939766768
215	0.2937767045
216	0.29364115
217	0.2933220319
218	0.2930988396
219	0.2929368822
220	0.2928091102
221	0.2926159231
222	0.2924632308
223	0.2923260523
224	0.292024562
225	0.2918541532
226	0.2915679259
227	0.2913261444
228	0.2911400163
229	0.2909051392
230	0.2907962391
231	0.2906277928
232	0.2904186978
233	0.2902621651
234	0.2900623782
235	0.2898447392
236	0.2896703739
237	0.2892984419
238	0.2890288053
239	0.2889080803
240	0.2887355206
241	0.2885220989
242	0.288303336
243	0.288113709
244	0.2879879436
245	0.2877421087
246	0.2875559031
247	0.2875132403
248	0.287261419
249	0.2871040778
250	0.2868896253
251	0.2867860815
252	0.2867056061
253	0.2865786103
254	0.286274189
255	0.2861644275
256	0.2859512419
257	0.2858768775
258	0.2856350524
259	0.2854425375
260	0.2853268063
261	0.2851764682
262	0.2850373774
263	0.2850347383
264	0.2847823853
265	0.284546686
266	0.284421653
267	0.2844151922
268	0.2843257642
269	0.284149242
270	0.2840107725
271	0.2839077511
272	0.2836884866
273	0.2835230589
274	0.2833237011
275	0.2831216203
276	0.2829990127
277	0.2828170731
278	0.2827321001
279	0.2826645313
280	0.28251737
281	0.282419844
282	0.2823090618
283	0.2822282536
284	0.282021686
285	0.2818310535
286	0.2816557059
287	0.2814506957
288	0.2813295717
289	0.2812536101
290	0.2809877418
291	0.280824732
292	0.2805906559
293	0.2804255195
294	0.2802689862
295	0.2801088323
296	0.2800435446
297	0.279947505
298	0.2799024943
299	0.2797089569
300	0.2795514496
301	0.2793325219
302	0.2792077703
303	0.2790711406
304	0.2789101254
305	0.2787284529
306	0.2785908105
307	0.2784170941
308	0.2783365728
309	0.2782018901
310	0.2780793643
311	0.2780146867
312	0.2778595012
313	0.2777070313
314	0.2775359298
315	0.277311052
316	0.2771697178
317	0.2770561618
318	0.2769690136
319	0.2767366795
320	0.2767093459
321	0.2764325452
322	0.2762856098
323	0.2760520781
324	0.2759320479
325	0.2758171168
326	0.275659889
327	0.2755163768
328	0.2753648551
329	0.2753150389
330	0.2751537371
331	0.274978814
332	0.2748868073
333	0.2747501415
334	0.2746647044
335	0.2743808902
336	0.2743569494
337	0.2740981012
338	0.2739529942
339	0.2736875688
340	0.2736012674
341	0.2734981353
342	0.2734303086
343	0.2732091171
344	0.2731374971
345	0.2729107759
346	0.2727924051
347	0.2726614102
348	0.2725512246
349	0.2723186578
350	0.2722185485
351	0.2721754091
352	0.2720301108
353	0.2719298589
354	0.2717779251
355	0.2715295945
356	0.2714444604
357	0.2713793672
358	0.2713564974
359	0.2711515806
